data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2012-01-17,CLSC6,0.5,4844.102875846272,36.39,143.74192509929588,33.7
2012-01-17,FHER3,0.5,5393.503679165793,11.25,464.9572137211891,11.6
2012-01-18,CLSC6,0.5,4858.4770683562,36.39,143.74192509929588,33.8
2012-01-18,FHER3,0.5,5393.503679165793,11.25,464.9572137211891,11.6
2012-01-19,CLSC6,0.5,4901.59964588599,36.39,143.74192509929588,34.1
2012-01-19,FHER3,0.5,5347.007957793674,11.25,464.9572137211891,11.5
2012-01-20,FHER3,0.5,5393.503679165793,11.25,464.9572137211891,11.6
2012-01-23,FHER3,0.5,5393.503679165793,11.25,464.9572137211891,11.6
2012-01-24,FHER3,0.5,5388.854107028581,11.25,464.9572137211891,11.59
2012-01-26,FHER3,0.5,5393.503679165793,11.25,464.9572137211891,11.6
2012-01-27,CNFB4,0.5,5138.489071570742,5.68,906.2590955151221,5.67
2012-01-27,LEVE3,0.5,5182.963212424445,15.99,321.9231808959283,16.1
2012-01-30,CNFB4,0.5,5138.489071570742,5.68,906.2590955151221,5.67
2012-01-30,LEVE3,0.5,5118.57857624526,15.99,321.9231808959283,15.9
2012-01-31,CNFB4,0.5,5174.739435391347,5.68,906.2590955151221,5.71
2012-01-31,LEVE3,0.5,5153.990126143813,15.99,321.9231808959283,16.01
2012-02-01,CNFB4,0.5,5229.114981122254,5.68,906.2590955151221,5.77
2012-02-01,LEVE3,0.5,5176.524748806526,15.99,321.9231808959283,16.08
2012-02-02,CNFB4,0.5,5192.8646173016505,5.68,906.2590955151221,5.73
2012-02-02,LEVE3,0.5,5244.128616794672,15.99,321.9231808959283,16.29
2012-02-03,CNFB4,0.5,5201.927208256801,5.68,906.2590955151221,5.74
2012-02-03,LEVE3,0.5,5285.978630311143,15.99,321.9231808959283,16.42
2012-02-06,CNFB4,0.5,5192.8646173016505,5.68,906.2590955151221,5.73
2012-02-06,LEVE3,0.5,5276.320934884265,15.99,321.9231808959283,16.39
2012-02-07,CNFB4,0.5,5183.802026346499,5.68,906.2590955151221,5.72
2012-02-07,LEVE3,0.5,5253.786312221549,15.99,321.9231808959283,16.32
2012-02-08,CNFB4,0.5,5201.927208256801,5.68,906.2590955151221,5.74
2012-02-08,LEVE3,0.5,5237.690153176753,15.99,321.9231808959283,16.27
2012-02-09,CNFB4,0.5,5192.8646173016505,5.68,906.2590955151221,5.73
2012-02-09,LEVE3,0.5,5231.251689558834,15.99,321.9231808959283,16.25
2012-02-10,CNFB4,0.5,5201.927208256801,5.68,906.2590955151221,5.74
2012-02-10,LEVE3,0.5,5211.936298705079,15.99,321.9231808959283,16.19
2012-02-13,CNFB4,0.5,5210.989799211952,5.68,906.2590955151221,5.75
2012-02-13,LEVE3,0.5,5189.401676042365,15.99,321.9231808959283,16.12
2012-02-14,CNFB4,0.5,5210.989799211952,5.68,906.2590955151221,5.75
2012-02-14,LEVE3,0.5,5157.209357952771,15.99,321.9231808959283,16.02
2012-02-15,CNFB4,0.5,5210.989799211952,5.68,906.2590955151221,5.75
2012-02-15,LEVE3,0.5,5269.882471266346,15.99,321.9231808959283,16.37
2012-02-16,CNFB4,0.5,5238.177572077406,5.68,906.2590955151221,5.78
2012-02-16,LEVE3,0.5,5234.470921367794,15.99,321.9231808959283,16.26
2012-02-17,CNFB4,0.5,5238.177572077406,5.68,906.2590955151221,5.78
2012-02-17,LEVE3,0.5,5285.978630311143,15.99,321.9231808959283,16.42
2012-02-22,CNFB4,0.5,5220.052390167103,5.68,906.2590955151221,5.76
2012-02-22,LEVE3,0.5,5285.978630311143,15.99,321.9231808959283,16.42
2012-02-23,CNFB4,0.5,5238.177572077406,5.68,906.2590955151221,5.78
2012-02-23,LEVE3,0.5,5434.063293523269,15.99,321.9231808959283,16.88
2012-02-24,CNFB4,0.5,5229.114981122254,5.68,906.2590955151221,5.77
2012-02-24,LEVE3,0.5,5308.513252973857,15.99,321.9231808959283,16.49
2012-02-27,CNFB4,0.5,5247.240163032557,5.68,906.2590955151221,5.79
2012-02-27,LEVE3,0.5,5392.213280006798,15.99,321.9231808959283,16.75
2012-02-28,CNFB4,0.5,5274.427935898011,5.68,906.2590955151221,5.82
2012-02-28,LEVE3,0.5,5537.078711409967,15.99,321.9231808959283,17.2
2012-02-29,AUTM3,0.5,5268.7904524291835,12.63,428.00897257751285,12.31
2012-02-29,LEVE3,0.5,5437.182122047325,17.2,314.2879839333714,17.3
2012-03-01,AUTM3,0.5,5422.873682557088,12.63,428.00897257751285,12.67
