,data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
1163196,2025-08-08,35.23,35.6,35.66,35.49,35.18,8260900,16439,EQTL3,293255587.0,1.0,35.6,1.0,35.6,35.23,35.66,35.49,35.18,174266012.0,44473610325.0,0.09897056497273346,0.19503188989593823,0.20183681284133068,0.7260119220915642,575.0,157.0,107.0,66.0,125.0,120.0,148.0
1163215,2025-08-08,17.92,17.68,17.92,17.51,17.28,43800,227,EUCA4,767247.0,1.0,17.68,1.0,17.68,17.92,17.92,17.51,17.28,598151.0,1653758080.0,0.16867917831697898,0.31547619047619047,0.6672815310122204,0.8013569979052648,275.0,44.0,32.0,39.0,63.0,97.0,20.5
1163108,2025-08-08,7.06,6.97,7.07,6.98,6.92,379300,1013,EVEN3,2649242.0,1.0,6.97,1.0,6.97,7.06,7.07,6.98,6.92,2946241.0,1394000000.0,0.06363088039509497,0.13149350649350633,0.42463584676057253,0.6387209883606195,490.0,36.0,138.0,92.0,82.0,142.0,115.0
1163386,2025-08-08,15.25,14.62,15.35,14.98,14.62,2493900,10047,EZTC3,37372125.0,1.0,14.62,1.0,14.62,15.25,15.35,14.98,14.62,13726575.0,3230860686.0,0.09296875181714805,0.15847860538827252,0.9137614428200573,0.5333449451587666,476.0,74.0,113.0,78.0,54.0,157.0,110.5
1163319,2025-08-08,6.38,6.35,6.47,6.38,6.35,447400,983,FESA4,2857295.0,1.0,6.35,1.0,6.35,6.38,6.47,6.38,6.35,3086726.0,2896035000.0,0.05758726862313725,-0.17532467532467544,999.0,0.8717316637939272,454.5,73.0,141.0,148.0,15.5,77.0,99.0
1163256,2025-08-08,3.94,3.92,3.94,3.9,3.88,309800,538,FIQE3,1210094.0,1.0,3.92,1.0,3.92,3.94,3.94,3.9,3.88,1158884.0,1419234467.0,0.17005831051789222,0.13294797687861282,1.7124643719883945,0.8748425542269819,278.0,38.0,30.0,91.0,45.0,74.0,22.0
1163165,2025-08-08,14.57,14.35,14.65,14.42,14.14,2332700,10024,FLRY3,33653936.0,1.0,14.35,1.0,14.35,14.57,14.65,14.42,14.14,41722767.0,7852191223.0,0.10759454395132075,0.2620932277924364,0.3652030735455543,1.3527406180531791,358.0,108.0,99.0,51.0,91.0,9.0,49.5
1163214,2025-08-08,21.94,21.65,21.98,21.67,21.55,1182600,2217,FRAS3,25630159.0,1.0,21.65,1.0,21.65,21.94,21.98,21.67,21.55,14839483.0,5780896400.0,0.05565903636179763,0.004174397031539989,0.2223799138516638,2.1670839134303845,471.0,95.0,143.0,114.0,117.0,2.0,107.0
1163349,2025-08-08,17.16,15.56,17.45,16.07,15.53,349700,1052,GFSA3,5620615.0,1.0,15.56,1.0,15.56,17.16,17.45,16.07,15.53,3603388.0,90198208.0,-0.034494195758902675,-0.43211678832116784,-999.0,0.5892235331370931,647.0,2.0,163.0,167.0,165.0,150.0,162.0
1163147,2025-08-08,16.25,16.39,16.54,16.35,16.06,9499000,16131,GGBR4,155399336.0,1.0,16.39,1.0,16.39,16.25,16.54,16.35,16.06,154994141.0,32128678575.0,0.14513368351434877,-0.027299703264095032,0.6566182296315399,0.7453152717135065,501.0,147.0,52.0,123.0,65.0,114.0,120.5
1163166,2025-08-08,14.71,14.42,14.85,14.53,14.34,1874100,7932,GGPS3,27245338.0,1.0,14.42,1.0,14.42,14.71,14.85,14.53,14.34,29993334.0,9731405221.0,0.10734697704460504,-0.024357239512855178,0.5863690347904639,0.8515743835777662,493.0,118.0,100.0,122.0,68.0,85.0,116.0
1163137,2025-08-08,7.74,7.58,7.74,7.63,7.58,2229400,4399,GMAT3,17011612.0,1.0,7.58,1.0,7.58,7.74,7.74,7.63,7.58,20737150.0,17043401342.0,0.12628969467301082,0.14848484848484866,3.6288476934993588,0.8842821350342717,400.0,133.0,78.0,84.0,35.0,70.0,71.5
1163351,2025-08-08,9.0,9.13,9.17,9.08,8.94,6404700,6287,GOAU4,58196617.0,1.0,9.13,1.0,9.13,9.0,9.17,9.08,8.94,52037252.0,9079836215.0,0.328496125835785,-0.03488372093023251,0.6561718283957169,0.6461639915201163,445.0,111.0,4.0,125.0,66.0,139.0,95.0
1163356,2025-08-08,9.05,9.0,9.33,9.12,8.99,958800,3466,GUAR3,8746733.0,1.0,9.0,1.0,9.0,9.05,9.33,9.12,8.99,5459589.0,9204000000.0,0.08625075100931442,0.4150943396226414,1.1137923357503619,0.8358212682996294,400.0,112.0,123.0,29.0,46.0,90.0,71.5
1163186,2025-08-08,35.97,35.63,36.18,35.62,35.3,2812400,13196,HAPV3,100180978.0,1.0,35.63,1.0,35.63,35.97,36.18,35.62,35.3,102748387.0,17908738404.0,0.04231949131969487,-0.006136680613668011,0.24903928007307718,0.5750139135319202,670.0,135.0,153.0,119.0,111.0,152.0,165.0
1163187,2025-08-08,2.92,2.83,2.93,2.82,2.71,1278200,1342,HBOR3,3615393.0,1.0,2.83,1.0,2.83,2.92,2.93,2.82,2.71,3735960.0,378798330.0,0.12130494107872218,0.9383561643835618,0.15205334618138505,1.882388429668512,245.0,11.0,82.0,4.0,145.0,3.0,10.0
1163293,2025-08-08,3.66,3.61,3.67,3.6,3.57,256600,620,HBRE3,924711.0,1.0,3.61,1.0,3.61,3.66,3.67,3.6,3.57,924711.0,372512221.0,0.15425949442779346,0.11076923076923073,0.1937505454940303,0.6461025116043121,412.0,9.0,42.0,94.0,127.0,140.0,78.0
1163201,2025-08-08,3.71,3.59,3.71,3.56,3.51,2286700,5748,HBSA3,8149277.0,1.0,3.59,1.0,3.59,3.71,3.71,3.56,3.51,8701581.0,2729774970.0,-0.04594092890229346,0.35984848484848464,-999.0,0.8674512569003542,513.0,71.0,164.0,34.0,165.0,79.0,129.0
1163225,2025-08-08,24.29,23.19,24.29,23.43,22.97,6053900,23700,HYPE3,141901252.0,1.0,23.19,1.0,23.19,24.29,24.29,23.43,22.97,56411661.0,14689028885.0,0.04560869543645107,0.2487883683360259,0.13428836921170823,0.7211456444947039,607.0,131.0,152.0,54.0,149.0,121.0,153.0
1163269,2025-08-08,21.55,21.69,21.84,21.68,21.49,1560800,8108,IGTI11,33842805.0,1.0,21.69,1.0,21.69,21.55,21.84,21.68,21.49,46948455.0,6327428178.0,0.11677349520128529,0.19175824175824197,0.42698872331501536,0.8724162279963447,410.0,98.0,87.0,68.0,81.0,76.0,76.5
1163213,2025-08-08,12.95,12.86,13.1,12.89,12.75,2386700,6424,INTB3,30785979.0,1.0,12.86,1.0,12.86,12.95,13.1,12.89,12.75,24921990.0,4213078875.0,0.13173180845738022,-0.07681263460157939,3.8889941982086884,0.9944484204144276,365.0,82.0,70.0,134.0,34.0,45.0,52.0
1163302,2025-08-08,21.69,21.82,22.04,21.87,21.58,1795900,6024,ISAE4,39290083.0,1.0,21.82,1.0,21.82,21.69,22.04,21.87,21.58,32032986.0,16711170168.0,0.16461063232293346,-0.02935943060498225,0.38858739925025604,0.7043495503276895,506.0,132.0,35.0,124.0,89.0,126.0,127.5
1163113,2025-08-08,10.86,10.91,10.94,10.88,10.8,13856700,25872,ITSA4,150833086.0,1.0,10.91,1.0,10.91,10.86,10.94,10.88,10.8,171666546.0,118239581530.0,0.13959709023966013,0.24118316268486928,4.453737584945112,0.7329609021786895,426.0,166.0,54.0,56.0,33.0,117.0,87.0
1163199,2025-08-08,3.2,3.17,3.25,3.18,3.16,550600,1048,JALL3,1755703.0,1.0,3.17,1.0,3.17,3.2,3.25,3.18,3.16,2328742.0,962227709.0,0.11053618612026661,-0.30022075055187647,0.14269980815707412,0.779794874976524,528.0,26.0,95.0,160.0,146.0,101.0,137.0
1163218,2025-08-08,5.31,5.35,5.38,5.34,5.28,2348500,8125,JHSF3,12543510.0,1.0,5.35,1.0,5.35,5.31,5.38,5.34,5.28,10942584.0,3645076745.0,0.2259787191625917,0.4304812834224596,0.4786265592085165,0.7591597170428078,292.0,75.0,7.0,26.0,74.0,110.0,24.0
1163096,2025-08-08,5.35,5.57,5.59,5.46,5.3,537300,1568,JSLG3,2937989.0,1.0,5.57,1.0,5.57,5.35,5.59,5.46,5.3,2018204.0,1595421104.0,0.13683954907342327,-0.039655172413793016,0.16979053200370267,0.6930268155105496,488.0,41.0,60.0,126.0,134.0,127.0,114.0
1163237,2025-08-08,7.22,7.06,7.22,7.06,6.98,2725300,5313,KEPL3,19251041.0,1.0,7.06,1.0,7.06,7.22,7.22,7.06,6.98,8606824.0,1268823200.0,0.2589961829036369,-0.2424892703862661,999.0,0.7928918283672404,308.5,32.0,6.0,156.0,15.5,99.0,30.0
